Ngày đăng,Tiêu đề,Giá,Diện tích,Địa chỉ,Mô tả,Link
"Thứ 2, 18:16 27/07/2026","CC, ngõ 383 Trần Đại Nghĩa, căn 2 ngủ 1 phụ, 30m, 5,2tr",5.2 triệu/tháng,30 m2,"Hai Bà Trưng, Hà Nội","Vị trí: Ngõ 383 Trần Đại Nghĩa bán kính khoảng 1km đến các trường ĐH Kinh tế, ĐH Xây Dựng, ĐH Bách Khoa.Nhà cách mặt phố 10 mét, ngõ ô tô qua thoáng…",https://phongtro123.com/cc-ngo-383-tran-dai-nghia-can-2-ngu-1-phu-30m-5-2tr-pr710261.html
"Thứ 3, 11:00 28/07/2026","Cho thuê CCMN Khép kín, ban công 140 nguyễn xiển, thanh xuân, gần ĐH Nhân Văn",4.5 triệu/tháng,25 m2,"Thanh Xuân, Hà Nội","Cho thuê phòng đủ đồ, khép kín, có ban công tại 140 Nguyễn Xiển, gần DH Nhân Văn, DH Công nghệ GTVT...- Vị trí: ngay ngã tư Nguyễn Xiển - Nguyễn Trãi, gần…",https://phongtro123.com/cho-thue-ccmn-khep-kin-ban-cong-140-nguyen-xien-thanh-xuan-gan-dh-nhan-van-pr620603.html
"Thứ 3, 10:55 28/07/2026","Phòng 86 Âu Cơ (gần trung tâm & đầy đủ tiện ích)Chỉ 3,500,000 VND/tháng",3.5 triệu/tháng,25 m2,"Tây Hồ, Hà Nội","CĂN HỘ GIÁ TỐT CHO THUÊGiá thuê: 3.500.000 VNĐ/thángNhận phòng từ: 01/08/2026Địa chỉ: 86 Đường Âu Cơ, Phường Hồng Hà, Hà Nội",https://phongtro123.com/phong-86-au-co-gan-trung-tam-day-du-tien-ich-chi-3-500-000-vnd-thang-pr710373.html
"Thứ 3, 10:31 28/07/2026","Phòng full đồ ngõ 554 Trường Chinh, gần hồ Khương Thượng, DH Thủy Lợi",3 triệu/tháng,18 m2,"Đống Đa, Hà Nội","Cho thuê phòng trọ gần ĐH Y Hà Nội, ĐH Thủy Lợi, ĐH Công Đoàn, Học viện Ngân hàng, thuận tiện đi học và đi làm.Phòng full nội thất: điều hòa, bình…",https://phongtro123.com/phong-full-do-ngo-554-truong-chinh-gan-ho-khuong-thuong-dh-thuy-loi-pr710366.html
"Thứ 3, 10:28 28/07/2026","Cho thuê 1n1k FULL đồ mới tinh tại 204 Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",6.2 triệu/tháng,40 m2,"Cầu Giấy, Hà Nội","CCMN FULL ĐỒ MỜI TINH ở 204 Trần Duy HưngNhà mới vừa xây xong đang hoàn thiện nốt nội thấtPhòng 1n1k rộng rãi thoáng mátVị trí thuận tiện, gần mặt…",https://phongtro123.com/cho-thue-1n1k-full-do-moi-tinh-o-204-tran-duy-hung-cau-giay-ha-noi-pr598014.html
"Thứ 3, 10:27 28/07/2026","Cho thuê phòng Full đồ ngay 138 Hạ Đình, gần DH Khoa học XH Nhân Văn, DH CNGTVT, DH Hà Nội",3.5 triệu/tháng,20 m2,"Thanh Xuân, Hà Nội","Chính chủ cho thuê phòng CCMN full đồ, khép kín tại số 02 ngõ 138 Hạ Đình, Thanh Xuân, Hà Nội- Gần ĐH Thăng Long, ĐH Công Nghệ Giao Thông Vận Tải, ĐH Nhân…",https://phongtro123.com/cho-thue-phong-full-do-ngay-138-ha-dinh-gan-dh-khoa-hoc-xh-nhan-van-dh-cngtvt-dh-ha-noi-pr708017.html
"Thứ 3, 10:27 28/07/2026","Cho thuê phòng full đồ, ban công thoáng tại số 10/144 Hồ Quan Nhân, Thanh Xuân gần DH Nhân Văn",5.5 triệu/tháng,30 m2,"Thanh Xuân, Hà Nội","Cho thuê phòng CCMN full đồ, ban công thoáng tại số 10/144 Hồ Quan Nhân, Thanh Xuân, Hà Nội- Trung tâm Quan Nhân, đối diện Đình Quan Nhân, Ngay cạnh Hồ Quan…",https://phongtro123.com/cho-thue-studio-full-do-tu-a-z-chi-can-sach-vali-den-o-144-quan-nhan-thanh-xuan-ha-noi-pr637980.html
"Thứ 2, 20:00 27/07/2026","Cho thuê CCMN Full đồ, khép kín ngay 05 Tú Mỡ, Cạnh sân bóng Trung Kính",4.9 triệu/tháng,22 m2,"Cầu Giấy, Hà Nội","***Siêu phẩm CCMN sang xịn mịn 7 tầng mới ngay ngõ 05 Tú Mỡ- Vị trí: Ngay sân bóng Trung Kính, Hồ Trung Kính, Đi thông sang Trung Kính, Nguyễn Chánh, cách 200m…",https://phongtro123.com/ccmn-full-do-khep-kin-ban-cong-ngay-204-tran-duy-hung-gan-big-c-pr595768.html
"Thứ 2, 20:00 27/07/2026","Cho thuê Homestay full đồ 1.250k/ng/tháng ngay ngã tư sở 554 Trường Chinh gần DY Thủy Lợi, DH Y",1.25 triệu/tháng,20 m2,"Đống Đa, Hà Nội","Cho thuê homestay giường tầng tại số 128/554 Trường Chinh, Ngã tư sở, gần Thủy Lợi, Công Đoàn, ĐH Y Hà Nội, HV Ngân Hàng- Giá thuê 1.250k/ng/tháng + Điện…",https://phongtro123.com/cho-thue-homestay-full-do-1-350k-ng-thang-ngay-nga-tu-so-554-truong-chinh-gan-dy-thuy-loi-dh-y-pr680932.html
"Thứ 2, 17:35 27/07/2026","Trọ Đơn giá rẻ , WC chung tại 409 Kim Mã",1.5 triệu/tháng,10 m2,"Ba Đình, Hà Nội","Tại ngõ 409 Kim Mã, Ba Đình, Hà Nội, gần ĐH Ngoại Thương, ĐH Luật, Học viện Thanh Thiếu Niên, Học viện Phụ nữ.Giá chỉ từ 1,8 – 2,2…",https://phongtro123.com/tro-don-gia-re-wc-chung-tai-409-kim-ma-pr710339.html
